"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.049558276E2,5.235476300E1,4.853199040E0,4.621670476E0,2.200000048E0,8.630000305E1,1.028799152E1,4.082959652E0
1.059571798E2,5.235476925E1,4.853258870E0,5.035654166E0,3.160000086E0,9.890000153E1,9.935046196E0,3.513642311E0
1.069544804E2,5.235476839E1,4.853308850E0,5.301184695E0,3.250000000E0,1.028000031E2,9.935046196E0,3.517552853E0
1.079561488E2,5.235476437E1,4.853335930E0,5.904771319E0,2.680000067E0,1.145000000E2,1.000322437E1,3.679323435E0
1.089555973E2,5.235475873E1,4.853380780E0,5.935428899E0,2.960000038E0,1.065999985E2,9.935046196E0,3.418321133E0
1.099564950E2,5.235475172E1,4.853419070E0,5.319291223E0,3.099999905E0,9.419999695E1,9.935046196E0,3.213333368E0
1.109552270E2,5.235474480E1,4.853458650E0,6.215483518E0,2.819999933E0,1.024000015E2,9.935046196E0,3.029938936E0
1.119570705E2,5.235473741E1,4.853500300E0,6.471173417E0,3.160000086E0,1.008000031E2,9.935046196E0,2.937206030E0
1.129596764E2,5.235473090E1,4.853541940E0,6.751583784E0,2.890000105E0,1.041999969E2,9.935046196E0,3.035685778E0
1.139558949E2,5.235472641E1,4.853593100E0,6.790303255E0,4.059999943E0,9.919999695E1,9.935046196E0,3.031982422E0
1.149564775E2,5.235472214E1,4.853650570E0,7.181138489E0,3.829999924E0,9.850000000E1,9.935046196E0,3.144999504E0
1.159544116E2,5.235471678E1,4.853711440E0,5.729933136E0,4.500000000E0,9.940000153E1,9.935046196E0,3.232536077E0
1.169593687E2,5.235470942E1,4.853779230E0,5.165020466E0,4.849999905E0,1.020000000E2,9.935046196E0,3.337000608E0
1.179555107E2,5.235470030E1,4.853839860E0,5.111819949E0,3.880000114E0,1.053000031E2,1.001949787E1,3.494348288E0
1.189543392E2,5.235469017E1,4.853888010E0,5.573015116E0,3.339999914E0,1.085000000E2,1.009522724E1,3.509294510E0
1.199546802E2,5.235468441E1,4.853937120E0,6.810095880E0,3.839999914E0,1.013000031E2,1.004301167E1,3.456451178E0
1.209547645E2,5.235470047E1,4.854035750E0,6.470392563E0,6.110000134E0,8.350000000E1,1.001301670E1,3.343269348E0
1.219561313E2,5.235470335E1,4.854119900E0,7.055528115E0,5.119999886E0,8.969999695E1,1.007534409E1,3.387338400E0
1.229553964E2,5.235469467E1,4.854205430E0,6.931969031E0,5.699999809E0,9.830000305E1,1.033243752E1,3.573741674E0
1.239547945E2,5.235469473E1,4.854276190E0,7.243045055E0,5.210000038E0,9.100000000E1,1.035019588E1,3.657910347E0
1.249546605E2,5.235469617E1,4.854339020E0,7.140361121E0,4.650000095E0,8.390000153E1,1.049993896E1,3.778381109E0
1.259551432E2,5.235469679E1,4.854388990E0,8.316904465E0,3.720000029E0,8.559999847E1,1.058708382E1,3.910218000E0
1.269542258E2,5.235470348E1,4.854447480E0,9.253043762E0,4.070000172E0,8.050000000E1,1.038991642E1,3.819252729E0
1.279554777E2,5.235472359E1,4.854478690E0,1.253543862E1,2.519999981E0,5.990000153E1,1.038755512E1,3.776418686E0
1.289566161E2,5.235473463E1,4.854541320E0,1.334835644E1,4.380000114E0,6.950000000E1,1.041140842E1,3.714700699E0
1.299546064E2,5.235472208E1,4.854617050E0,1.209893178E1,4.880000114E0,8.540000153E1,1.043286896E1,3.708236933E0
1.309557752E2,5.235472756E1,4.854665240E0,1.265377682E1,4.289999962E0,8.040000153E1,1.065337467E1,3.835911989E0
1.319590181E2,5.235472862E1,4.854745520E0,1.210151745E1,4.730000019E0,8.350000000E1,1.115821075E1,4.026765823E0
1.329554106E2,5.235474386E1,4.854818410E0,1.257197881E1,4.670000076E0,7.800000000E1,1.180584908E1,4.093552113E0
1.339575511E2,5.235476841E1,4.854966990E0,1.158540459E1,6.610000134E0,7.640000153E1,1.218167973E1,4.077006340E0
1.349568234E2,5.235476475E1,4.855075980E0,1.157105797E1,6.630000114E0,8.500000000E1,1.307021332E1,4.423878670E0
1.359571903E2,5.235478786E1,4.855147080E0,1.196993512E1,5.849999905E0,7.540000153E1,1.377457809E1,4.739668846E0
1.369561948E2,5.235480695E1,4.855149490E0,1.115581537E1,3.759999990E0,5.970000076E1,1.373013687E1,4.967105389E0
1.379563631E2,5.235476597E1,4.855162350E0,1.092035263E1,1.960000038E0,8.859999847E1,1.168220615E1,5.024698257E0
1.389555646E2,5.235480970E1,4.855212100E0,1.102194419E1,4.079999924E0,4.429999924E1,1.122681999E1,5.028790951E0
1.399570193E2,5.235484774E1,4.855254360E0,1.228697558E1,3.799999952E0,5.770000076E1,1.109607887E1,5.036763191E0
1.409573516E2,5.235485705E1,4.855236550E0,1.131108728E1,6.000000238E-1,5.290000153E1,1.083707809E1,5.019811153E0
1.419569312E2,5.235484992E1,4.855236450E0,1.196982965E1,5.899999738E-1,5.340000153E1,1.055837440E1,4.729451180E0
1.429570869E2,5.235486498E1,4.855232110E0,1.158465543E1,3.499999940E-1,5.270000076E1,1.054922199E1,4.871636868E0
1.439569362E2,5.235486618E1,4.855230680E0,1.132098442E1,3.499999940E-1,5.279999924E1,1.057697105E1,5.058300018E0
1.450752267E2,5.235511940E1,4.855228800E0,2.094791730E0,0.000000000E0,0.000000000E0,2.119099998E1,2.849157810E0
1.475794311E2,5.235504815E1,4.855337970E0,4.247462214E1,3.130000114E0,6.980000305E1,1.850436592E1,1.761395836E1
1.485806164E2,5.235507489E1,4.855420180E0,3.992136236E1,3.230000019E0,5.690000153E1,1.011307621E1,1.055869579E1
1.495816010E2,5.235509025E1,4.855483150E0,3.965811457E1,3.089999914E0,6.409999847E1,8.572307587E0,9.117354393E0
1.505805878E2,5.235509654E1,4.855531300E0,4.069715262E1,1.360000014E0,6.090000153E1,8.560036659E0,9.012649536E0
1.515814738E2,5.235510184E1,4.855575710E0,4.346958557E1,2.160000086E0,7.590000153E1,8.881724358E0,9.092955589E0
1.525822093E2,5.235510312E1,4.855625900E0,4.177582968E1,2.269999981E0,8.430000305E1,9.525659561E0,8.916015625E0
1.535812472E2,5.235509993E1,4.855700120E0,4.048680548E1,4.570000172E0,8.469999695E1,9.341433525E0,8.672063828E0
1.545812988E2,5.235509622E1,4.855790670E0,3.504123479E1,4.679999828E0,8.059999847E1,9.223682404E0,8.086493492E0
1.555815705E2,5.235504599E1,4.856011880E0,3.127206568E1,5.860000134E0,8.080000305E1,8.213932037E0,7.316668987E0
1.565801853E2,5.235507644E1,4.856122630E0,3.147248967E1,6.380000114E0,8.030000305E1,8.551339149E0,7.044899464E0
1.575818279E2,5.235509820E1,4.856217890E0,2.943632027E1,6.360000134E0,6.909999847E1,8.058542252E0,6.793060780E0
1.585805836E2,5.235511356E1,4.856317350E0,2.989202662E1,6.460000038E0,7.509999847E1,8.978437424E0,6.922075272E0
1.595819136E2,5.235508722E1,4.856371100E0,2.721221103E1,5.559999943E0,8.600000000E1,9.799691200E0,6.957702637E0
1.605818222E2,5.235509762E1,4.856452260E0,2.685893990E1,5.019999981E0,7.509999847E1,9.762992859E0,6.683270931E0
1.615804796E2,5.235512951E1,4.856545160E0,2.551534929E1,5.360000134E0,7.300000000E1,9.264985085E0,6.304942608E0
1.625807788E2,5.235509836E1,4.856573810E0,2.551855691E1,2.920000076E0,1.288999939E2,7.367228985E0,5.704644680E0
1.635813907E2,5.235511251E1,4.856639540E0,2.640881243E1,3.490000010E0,8.280000305E1,7.357625961E0,5.487930298E0
1.645809950E2,5.235512144E1,4.856720030E0,2.778960867E1,4.599999905E0,7.659999847E1,7.316055298E0,5.413850307E0
1.655795675E2,5.235513253E1,4.856802600E0,2.836328025E1,4.190000057E0,8.490000153E1,7.144116402E0,5.237483978E0
1.665831757E2,5.235513483E1,4.856855990E0,2.893222295E1,4.179999828E0,8.769999695E1,7.092845440E0,5.184894085E0
1.675801468E2,5.235513618E1,4.856963980E0,2.873557079E1,5.960000038E0,9.450000000E1,7.025152206E0,5.208003521E0
