,acc_x,acc_y,acc_z,acc_label,gyr_x,gyr_y,gyr_z,light_lux,lin_acc_x,lin_acc_y,lin_acc_z,loc_Latitude (°),loc_Longitude (°),loc_height,loc_speed,loc_Direction (°),loc_horizontal_accuracy,loc_vertical_accuracy,mang_Magnetic field x (µT),mang_Magnetic field y (µT),mang_Magnetic field z (µT)
2023-06-07 16:43:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:44:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:45:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:46:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:47:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:48:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:49:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:50:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:51:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:52:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:53:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:54:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:55:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:56:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:57:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:58:16.077333,0.7023978045375463,0.0005100020555547252,9.94864881147311,sitting,-0.0010528529429915166,0.0004254036980664322,0.00030208277093402464,1488.6268595119263,0.00011230412514598268,-6.14800994531484e-05,-0.000558694485821022,52.3772816,4.87804755,2.639172798,0.0,0.0,71.20000075,16.365479229,-9.655868206308734,-28.297461108526814,-74.02524867782199
2023-06-07 16:59:16.077333,0.6298302464907616,-0.1651313977654929,9.95912670117175,sitting,-3.066889496400526e-05,-1.0282393173977123e-05,1.9165290781753958e-05,1526.0159859399998,-0.0002880757365859063,3.949093329927954e-05,0.00023157092040528617,52.3777063,4.877444399999999,1.2259619753333333,0.0,0.0,223.00000063666667,2.0556874273333334,-9.490408307527833,-26.91766669852833,-73.34757794969333
2023-06-07 17:00:16.077333,0.6300233770144608,-0.16540829072795404,9.960025983421236,sitting,-1.3728130629747453e-05,8.950045337999621e-06,-8.679932354708778e-05,1520.0051818822221,0.00010579194762454488,0.00010044954265271726,-1.865126982084998e-05,52.3772791,4.877717166666667,1.805643366,0.0,0.0,15.024333319999998,1.5904513596666667,-9.4394916041565,-26.98139340418833,-73.37327110556333
2023-06-07 17:01:16.077333,0.628800599703615,-0.16581179189954479,9.954406101392236,sitting,0.00022779049668229288,-0.00012790374857105384,7.724059405824294e-06,1510.7471853799998,-0.0008745073130926938,-0.0012644078467011401,-4.218921864066332e-05,52.377245433333336,4.877695066666667,1.8389159136666666,0.0,0.0,29.18400065,2.7910898129999997,-9.456329637342833,-26.980935903783333,-73.236157344935
2023-06-07 17:02:16.077333,0.6273187007907244,-0.166005198208017,9.951192755036823,sitting,-3.2764829135475765e-05,-6.42994332479748e-05,1.978102005483031e-05,1496.1893111666668,-0.00023639813048600397,-7.786598740177727e-05,-2.3602114599673926e-06,52.377709833333334,4.877444533333333,1.2259670313333333,0.0,0.0,224.16666730333336,2.3735227586666667,-9.451063307106,-26.963424836426665,-72.99486576083667
2023-06-07 17:03:16.077333,0.6259033705292696,-0.16613599211618463,9.949363084693077,sitting,2.1991799633795658e-05,-8.688847832201912e-05,-3.637958831365064e-05,1485.077834481111,-0.00017665928447319304,-0.00019528075395777427,7.217182741028476e-05,52.377291066666665,4.8777194,1.738995876,0.0,0.0,52.70899995333334,4.020630121333333,-9.394416667746167,-26.96124713836167,-72.97520745342
2023-06-07 17:04:16.077333,0.6258861998355548,-0.16596382757017442,9.95135597146078,sitting,5.8595014439663235e-05,0.0001369235874644873,-4.9687384074479706e-05,1482.9043396246498,0.0003347660621756401,-0.00013586553582530252,-0.00017390718834616012,52.3773027,4.8780416,1.839197931,0.0,0.0,28.62999916,1.816482663,-9.436082933192615,-26.97156799052455,-72.84443227849769
2023-06-07 17:05:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 17:06:16.077333,-0.09525878142705964,0.0953816568344532,9.945135800527037,sitting,0.00010028670384930918,-7.921017433901522e-05,5.8634778690953e-06,1182.8498179018568,-7.310052527022124e-05,-0.00039894359756831543,-0.0001780918797086339,52.37726375,4.87770905,1.8389498469999999,0.0,0.0,26.818499085000003,2.4302231075,-0.0880640305581477,-43.9822800823473,-97.26181218191617
2023-06-07 17:07:16.077333,-0.09477797743031899,0.09334134844511578,9.940814344729295,sitting,8.988373437653538e-05,5.559008574519649e-05,-1.0135646762201223e-05,1197.726798798889,0.00045491258901546815,-0.00021262033449581094,3.225649991242656e-06,52.37729113333334,4.8777216999999995,1.83899578,0.0,0.0,20.582666396666667,2.389191826333333,-0.10381996465260165,-43.941416283836666,-97.53917912171168
2023-06-07 17:08:16.077333,-0.09407560136382738,0.09257387590653073,9.94561879217567,sitting,9.773729503953697e-05,0.0001265574780364531,1.980776147944703e-05,1475.7216601777777,0.00045016392604812003,-0.0002213823225437474,-2.8585457088561518e-05,52.37728763333334,4.877717133333334,1.8389881956666667,0.0,0.0,21.08166694666667,2.1663962206666665,-0.10478376448390998,-43.925562416015,-97.40733372373333
2023-06-07 17:09:16.077333,-0.09346891643262567,0.09226622571285999,9.942399798494645,sitting,8.272532401901323e-06,6.959457754599315e-05,9.290569381006897e-05,1471.3191552766666,0.0002415710710405845,-1.2558777871768706e-05,-3.1201756454001213e-06,52.37726923333333,4.877713766666667,1.838960313,0.0,0.0,20.319333393333334,1.926077882333333,-0.08436503180474833,-43.960763476720004,-97.335191076935
2023-06-07 17:10:16.077333,-0.09395394379970877,0.09167733252928563,9.942328489519348,sitting,-0.00010388820711003948,-3.3972715690259084e-05,-1.744544017285932e-05,1453.5674101977777,-0.00022087875565535741,0.0004469801408615384,-3.2197122661270196e-05,52.37729136666667,4.877721266666667,1.8389958573333332,0.0,0.0,18.184999783333335,1.9582513966666664,-0.11451326410321166,-43.877250408083334,-97.34656352110832
2023-06-07 17:11:16.077333,-0.09520520258814548,0.09074094990627486,9.932719084841597,sitting,-5.868086698107885e-05,-1.6082089035309795e-05,-4.892821901757438e-05,1439.2714318688888,-0.0002720996142898016,0.00028054412886599234,-2.1639283312267232e-05,52.3772837,4.877718233333333,1.8389832923333334,0.0,0.0,19.70600032666667,1.7152669033333332,-0.058230598791041664,-43.93682911610999,-97.362502773265
2023-06-07 17:12:16.077333,-0.09665287861119375,0.08956576259197618,9.931803796863617,sitting,-0.0001825084164604255,-0.0001534404745740572,-9.056193565209396e-05,1425.151131937023,-0.0008463362564556666,0.000612656850211463,-0.00015622822618558817,52.3772849,4.8777131,1.838982001,0.0,0.0,15.28600025,1.391581893,-0.02416618939116991,-43.96469880773742,-97.23195666749143
2023-06-07 17:13:16.077333,,,,,,,,,,,,,,,,,,,,,
